Giardino Giuseppe Damascelli,-1
Piazza Fabrizio De Andrè,-1
Via Luigi Ricchioni,30
Ponte 20 Settembre,-1
Parcheggio bici e moto,-1
Via Domenico Turitto,30
Via Ravenna,30
Via Santo Mariano,30
Lungomare Giambattista e Pietro Starita,50
Corso Cavour,30
Largo Maria Montessori,30
Via Giustino Fortunato,30
Via Nicola Cadudi,-1
Via Francesco Curzio,30
Strada de Gironda,-1
Strada Incuria,-1
Via Niccolò Pisani,30
Via Addis Abeba,30
Via Giuseppe Palmieri,30
Via Giuseppe Forges Davanzati,30
Lungomare 9 Maggio,50
Via Gioacchino Toma,30
Via Picone,-1
Via Martiri di Marzabotto,-1
Via Bona Sforza,30
Via Padre Pio,-1
Via Nicola Leotta,30
Via Ruggiero Bonghi,30
Via Brennero,30
Strada Pezze del Sole,-1
Via Cifariello,30
Ex Strada Statale 98,-1
Strada Provinciale Bari - Valenzano,-1
Strada del Torrente Balice,50
Via Vigili del Fuoco caduti in Servizio,-1
Via Alfredo Oriani,30
Via dei Conciatori,-1
Via Giandomenico Petroni,30
Lungomare Araldo di Crollalanza,50
Piazza dei Gesuiti,-1
Via Zara,30
Via Enrico Pappacena,-1
Strada Filioli,-1
Viale Luigi De Laurentis,50
Via Rodolfo Redi,-1
Via Albert Einstein,30
Via Andrea Matteo Acquaviva,30
Via San Francesco alla Rena,30
Strada Amendoni,-1
Via Tommaso Storelli,-1
Via Massimiliano Mayer,30
Strada Crocifisso,-1
Via Foggia,-1
Via Madre Clelia Merloni,30
Via Michele Troisi,30
Via Venezia,-1
Piazzale Vittorio Triggiani,-1
Via Buccari,30
Via Fabrizio Veniero,30
Via Brigata e Divisione Bari,-1
Via Salvo d'Acquisto,50
Via Ettore Fieramosca,30
Via Repubblica napoletana,30
Via Francesco Crispi,50
III Traversa Nove Maggio,30
Via Vincenzo Calace,30
Via Eroi di Dogali,-1
Via Papa Bonifacio IX,-1
Via Ofanto,-1
Via Salvatore Matarrese,-1
Via Giuseppe Albanese,30
Via dei Vasai,-1
Via Monte Grappa,30
Via Lecce,-1
Viale Papa Giovanni XXIII,-1
Via Valdocco,30
Via Giovanni Modugno,-1
Via Sabotino,30
Stradella Cannaruto,-1
Via Dalmazia,30
Strada Statale 16 bis Adriatica,90
Via Piave,30
Via Ancona,30
Via Gaetano Salvemini,-1
Via Val D'Aosta,30
Corte del Dattilo,-1
Via Pascali,30
Via Alfredo Violante,30
Via Giuseppe de Nittis,30
Via Francesco Muciaccia,30
Corte Colagualano,30
Viale John Fitzgerald Kennedy,50
Via Campania,30
Via Marche,30
Via Sigismondo Castromediano,30
Vico Federico II di Svevia,-1
Strada Tresca vecchia,-1
Via Trani,30
Piazzale Vittorio Emanuele III,-1
Via Nicola Bavaro,30
Largo Ignazio Chiurlia,-1
Via Gennaro Guevara,-1
Via Davide Lopez,30
Viale Danubio,-1
Via dei Bottai,-1
Area di sosta pre-imbarco auto,-1
Viale Imperatore Traiano,30
Sottovia Giuseppe Filippo,-1
Via San Nicola da Tolentino,-1
Via Renato Dell'Andro,50
Parcheggio sotterraneo,-1
Sottopasso Giallo,-1
Raccordo Giuseppe Rossi - Tondo di Carbonara,-1
Via Antonio Beatillo,30
Via Enrico Pessina,30
Piazza Urbano II,-1
Viale Saverio Mercadante,-1
Via Emanuele Melisurgo,-1
Via Luigi Milella,30
1° Privata De Angelis,30
Piazza Giuseppe Massari,30
Via Benedetto Cairoli,30
Strada Statale 96,70
Via Francesco Rismondi,30
Via Dante Alighieri,50
Via Fratelli Giorgio e Michele de Vincentis,30
Salita Vito Minnuno,-1
Via Mauro Amoruso,-1
Via Cardinale Ciasca,-1
Largo San Sabino,30
Via Giuseppe Re David,30
Via dei Mille,30
Via Riccardo Zandonai,30
Via Giuseppe Suppa,30
Corso Vittorio Veneto,30
Via Nicola De Gemmis,-1
Via dei Tornitori,-1
Strada San Totaro,-1
Via Nicola Ruffo,-1
Via Umberto Zanotti Bianco,30
Via Francesco Pascazio,-1
Via Monfalcone,30
Via Giovanni Colella,-1
Via Circonvallazione,50
Piazzale Mater Ecclesiae,-1
Via Arturo Santoro,30
Modugno - Carbonara,-1
Via Boemondo,-1
Parallela Peucetia,-1
Via dei Lilium,-1
Via Giovanni Candura,30
Via Domenico Cimarosa,30
Viale delle Murge,-1
Via Domenico Mandragora,30
Via Conte Giusso,-1
Viale Japigia,-1
Via Sparano da Bari,-1
Via Pitagora,-1
Via Giuseppe Prezzolini,-1
Via dei Marmisti,-1
Parco dell'Amore,-1
Via Pacifico Mazzoni,30
Via Barletta,30
Via Timavo,30
Via Raffaele d'Addosio,30
