Via Egidio Folli,-1
Via Rozzano,30
Via Lodovico Zambeletti,30
Via Piero Capponi,30
Via Amatore Sciesa,30
Via Guido Ucelli di Nemi,30
Via Edoardo Bianchi,30
Via Ettore Ponti,50
Via Padre David Maria Turoldo,50
Vicolo del Gallo,30
Vicolo Zari,30
Via Marina,30
Via Vilfredo Pareto,-1
Piazzale Giulio Cesare,30
Vicolo Zara,30
Via Camillo Chiesa,-1
Via privata Fratelli Lorenzetti,30
Via Marini,30
Piazza Giovanni Bausan,50
Via privata Cotonificio,-1
Via degli Imbriani,50
Via Passaggio,30
Via del Cavo,30
Via Don Giuseppe Andreoli,30
Via Cipriano Padre,-1
Via Zara,30
piazza Matteotti,-1
Via Alberto Nota,30
Via Tommaso Alva Edison,30
Via privata Saverio Griffini,30
Via Giovanni Giolitti,30
Via Clateo Castellini,30
Viale Cassiodoro,30
Vicolo Villa,30
Via dei Ciliegi,30
Via Foggia,-1
Via Francesco Reina,30
Piazza Mario Vigorelli,30
Via Bozzente,30
Via Pergolesi,30
Via Sant'Ambrogio,30
Via Bacone,30
Via Bellegotti,30
Piazza Atleti Azzurri d'Italia,-1
Via Giuseppe Bollini,-1
Via Moriano,50
Via dei Gerani,30
Via Ferraris,30
Viale dei Molini Asciutti,-1
Via San Colombano,50
Vicolo Padre Romeo M. Farina,30
Piazza Lima,30
Via Monzese,50
Via Cassio Dione,-1
Via delle Vigane,30
Via della Ronchetta,-1
Via Camillo Benso,30
Via Pablo Picasso,30
C.na Bragosa,-1
Via degli Aceri,30
Via Trani,30
Via Costanza Arconati,-1
Via Livinallongo,30
Via Frontini,30
Via Poldo Gasparotto,30
Via Enrico Tellini,30
Via Eugenio Torelli Viollier,30
Via F. Piccaluga,30
Via Gerolamo Borgazzi,-1
Via Scrivia,30
Viale Giovanni Milton,50
Via Flavio Vegezio,30
Viale Milanofiori,-1
Via Vittorio Ansaloni,-1
Via Siro Capsoni,30
Via dei Caduti,50
Via Giuseppina Sfondrini,30
Via Albenga,30
Via Monsignor Pogliani,30
Via Benedetto Cacciatori,30
Via Federico Barbarossa,30
Via Agostino Bertani,30
Via David Maria Turoldo,30
Via Privata Procopio,30
Via Villata,30
Via Francesco Rismondo,50
Via Raimondo Montecuccoli,30
Cascina Merlata Ring,-1
Via Francesco Paolo Michetti,30
Via Eugenio Montale,30
Via Privata Druso,30
Via Don Verzini,30
Via Moncalieri,30
Passerella Enrico Fermi,-1
Piazza Carrobiolo,-1
Via Valosa di Sopra,30
Via Alessandro Sobacchi,30
Via San Pedrino,30
Via Paolo 6°,-1
Via Puccini,30
Via Torri del Paine,30
Via Danesio,30
Via privata Bertola da Novate,-1
Piazzale di Porta Lodovica,50
Via Marino,30
Via Pietro Rondoni,30
Ripa di Porta Ticinese,30
Via Fernando Sala,30
Largo Camillo Caccia Dominioni,30
Via Galanta,30
Via Perin del Vaga,30
Via Antonio Fontanesi,-1
Via dell'Allodola,30
Via Luigi Zoja,30
Vicolo Don Bosco,-1
Via Roberto Cucchi,-1
Via per Agnadello,-1
Largo Giovanni Muzio,30
Largo Milano,30
Via de Gasperi,50
Via Vicinale del Baroi,-1
Via Ovidio Cerruti,30
Via Renato Fantini,30
Via Desio,30
Via del Cavaliere,-1
Via Padre Pietro Galastri,30
Corso Plebisciti,30
Via Enrico Somarè,30
Via Novara,70
Piazza Francesco Petrarca,-1
Via Mulini,30
Via Alberto Da Giussano,50
Via XXII Strada,-1
Via Paolo Gorini,30
Via per Bresso,50
Ottorino Respighi,30
Via del Brugo,-1
Vicolo Privato Parini,-1
Via delle Querce,30
Vicolo San Paolo,30
Via Centro sportivo,-1
Via Maria Callas,30
Cavalcavia Maggi,-1
Via Antonio Mambretti,50
Strada da Cesate a Saronno,-1
Piazza Tricolore,-1
Piazza ONU,-1
Via Giacomo Carini,30
Via Renzo Bottini,-1
Via Marco d'Aviano,30
Via del Salice,30
Piazzetta della Canonica,-1
Via Giulio Ceradini,30
Viale Bagatti,-1
Via Solferino,30
Sottopassaggio,-1
Tangenziale Est di Lodi,90
Via padre Annibale Maria di Francia,30
Via Corinna Bruni,30
Via G. Salvemini,-1
Piazza San Camillo de Lellis,30
Via Della Pace,30
Via Padre Luigi Vaiani,30
Via Borromeo d'Adda,50
Via Vigilio Inama,-1
Via Cassinari,30
Via Toscana,30
Via Carlo Bazzi,30
Passaggio Santa Margherita,-1
Via Antebiago,-1
Via Isimbardi,50
Via Andromeda,30
Via Enrico de Nicola,30
Cardo,-1
Largo Raffaele Mattioli,-1
Via Cusio,30
Via Giuseppe Dall'Occo,30
Via Leone XIII,30
Corso di Porta Ticinese,30
Via Giuseppe Verdi,30
Via Monte Leone,30
Via della Mosa,-1
Via Leo Longanesi,30
Strada dei Boschi,30
Viale S. Predabissi,50
Via Arborio Mella,-1
Via Lucio Mastronardi,30
Traversino,-1
Via per la Stazione,50
Via Monte Piana,-1
Strada Provinciale 494 Vigevanese,70
Via Monsignor Luigi Martini,30
Viale Malta,-1
Accesso asilo,-1
Via Zinie,30
Via privata Niccolò Paganini,-1
Via monsignor Celestino Cattaneo,30
Piazza Cincinnato,30
Via Simone D'Orsenigo,-1
Via Tina Magni,-1
Via Giovanni Frova,30
Via Volontari del Sangue,50
Strada Provinciale 121,-1
Piazza Graziadio Isaia Ascoli,70
Vicolo Livenza,30
Via dell'Acero,30
Via monte Santo,30
Via Monte Bisbino,30
Via del Respiro,30
Via Lazzaro Palazzo,30
Strada provinciale Pessano - Vimercate,-1
Via dei Boschi,-1
Galleria Santa Radegonda,-1
Via degli Umiliati,30
Via Monte Albenza,-1
Via Olimpia,-1
Via C. Grassi,30
Viale Monza,50
Via Arbasi,30
Via dei Girasoli,-1
Via Privata Ofanto,-1
Via Pietro da Cortona,30
Corso Adda,30
Via Modignani,30
Piazza Lina Bo Bardi,50
Via Wolfgang A. Mozart,30
Via Mario Colombi,30
Via Breno,30
Via al Castelletto,-1
Via Sandro Sandri,30
Via Lillo del Duca,30
Via Calvairate,-1
Piazza Piccola,-1
Via Francesco Denti,30
Piazza Donne della Resistenza,30
Largo dei Bersaglieri,30
Via Giovanni Schiapparelli,30
Via Salieri,30
Via Paolo Gerolamo Biumi,-1
Via A. Novella,30
Via Jacopo Sansovino,30
Piazza Fidia,30
