Linden Heights,-1
Greenville Road,30
Erickson Place,30
Skunk Hollow Road,30
Devon Way,30
Forster Place,30
South Poe Street,30
Rockne Road,30
Steep Bank Road,30
Squire Hill Road,30
Tania Court,30
Sioux Street,30
Hadowanetz Drive,30
Schernott Place,30
West Lyon Farm Drive,30
Long House Way,30
West 121st Street,30
Sunflower Ridge Road,30
Titan Drive,30
Carter Court,30
Brassie Lane,30
Farrell Court,30
Ellsworth Street,30
Wabash Street,30
Sisson Court,30
Medley Lane,30
Hanes Drive,-1
Surfside Plaza,30
Wagon Way,30
Dixie Avenue,30
Art Street,30
Raker Court,30
Grescham Avenue,30
Tree Top Lane,30
Snowdrift Drive,30
250 Yard Drive,30
Donnybrook Road,30
Hyer Court,30
Ardsley Boulevard,30
Newton Sparta Road,-1
Wedgewood Parkway,30
Elbert Court,30
Northview Drive,30
177th Place,30
Linnet Court,30
Whitford Road,30
Longridge Court,30
Emmett Avenue,30
Rose Valley Road,30
Schiller Street,30
Whortley Circle,30
Taylors Lane,30
Marine Drive,30
Waverly Terrace,30
Todt Hill Road,50
Sturwood Drive,30
Fournier Crescent,30
75th Road,30
Sandy Walk,30
Soma Lane,30
Arlyne Drive,30
Woodmill Road,30
Seward Place,30
Whitman Road,30
Jay Way,30
Johnston Avenue,30
Farless Avenue,30
Maple Crest,30
Esser Place,30
Beach 125th Street,30
Houston Place,30
West 219th Street,30
Kristin Court,30
Kinswood Road,30
Rainey Park Esplanade,-1
Sinclair Road,30
Kearny Avenue,70
Withers Street,30
Goodridge Avenue,30
Babe Ruth Plaza,-1
Stellarator Rd,30
Waterfall Lane,30
Galda Road,30
Middlebury Road,30
Niagara,30
Twin Light Court,30
Two Brothers Court,30
Grand Central Place,30
Garner Lane,30
Shore Lane,30
Rollingwood Way,30
Mora Court,30
Old Oak Drive,30
Teena Place,30
McAfee - Vernon Road,-1
Liverpool Street,30
Marvin Lane,30
Wexford Street,30
Herbert Ave Ave,30
27N,-1
Land Place,30
Fielding Avenue,30
27S,-1
Ernest Street,30
Levey Boulevard,30
Oatley Place,30
Peak Avenue,30
Majestic South,30
Alletra Avenue,30
Brier Hill Court,30
West Ridge Mewes,30
Bernath Street,30
Hoboken Avenue,50
Gallagher Sand and Gravel Co.,-1
Mazur Place,30
Roosevelt Drive,30
Quealy Place,30
Oak Leaf Drive,30
Schuyler Court,30
Margiasso Court,30
Old Farm Circle,30
Keyes Road,30
West Webster Avenue,30
Polly Drive,30
180th Street,30
Jelliff Avenue,30
Dustman Lane,30
Estelle Lane,30
Cornfield Lane,30
Sutton Manor Lane,30
River Wind Road,30
Wrye Place,30
Bethany Circle,30
Stadium Drive,30
Shaw Drive,30
Hollywood Avenue Approach;Hollywood Avenue,-1
Roosevelt Terrace,30
Stocker Road,30
Danver Lane,30
Tracey Drive,30
Reese Street,30
New Charles Avenue,30
Jersey Avenue,50
East Hendricks Boulevard,30
Bert Place,30
Mayo Place,30
Eisenhower Pkwy,90
Martin Street East,30
Plum Tree Court,30
Silo Road,30
Rhinesmith Road,30
Borden Road,30
Utica Court,30
West Bayview Avenue,30
Autumn Ridge Road,30
Island View Way,30
Lattingtown Road,50
Cutter Avenue,30
Thorn Hill,30
Sunset Way,30
Trinity Drive,30
Fink Avenue,30
Wisnev Street,30
Morse Place,30
East 34th Street,70
Trescott Path,30
Margaret Lane,30
Buckeye Drive,30
Capstan Court,30
Manee Avenue,30
Wimpole Way,30
Beach 50th Street,30
Beach 209th Street,30
Lukens Avenue,30
Timbercrest Lane,30
Ellbert Street,30
Infield Lane,30
Medical Park Drive,30
Altamont Place,30
Keith Jeffries Avenue,30
Grumm Road,50
Camelot Lane,30
Desoto Road,30
Cross Slope Court,30
Baron Road,30
Chedworth Circle,30
Dorann Avenue,30
Tucker Lane,30
West White Street,30
Kingman Terrace,30
260th Street,30
Mulberry Hill Road,30
Half Acre Road,-1
Cincinnatus Avenue,30
Ayres Court,30
Elkwood Avenue,30
Glen Alpin Road,-1
Cowpath,30
Nelson Lane,30
Agate Street,30
Brooklyn Stanhope Road,30
Birchwood Avenue,30
Trenor Drive,30
Birmingham Drive,30
Plume Court,30
Silleck Street,30
Benedek Road,30
Castle Avenue East,30
North Locust Street,30
Gatewood Way,30
Farlane Drive,30
Kaye Place,30
Susan Road,30
Eagle Ridge Way,30
Freeway Drive ive East,-1
Obermueller Drive,30
Marsh Loop Trail,-1
Barry Drive North,50
Ingraffia Drive,30
Turtle Back Trail (Orange),-1
Shelby Avenue,30
Bowden Road,30
Bay 6th Street,30
Terrace Park,30
Sheep Farm Road,30
Kansas Way,30
President's Place,30
Hepworth Court,30
Terry Lynn Drive,30
South Robert Street,30
Brambach Avenue Road,30
Longfellow Street,30
Tainter Street,30
Ashwood Terrace,30
Gair Street,30
Rutledge Street,30
Cochran Terrace,30
Bissell Road,30
Venture Court,30
Waverly Drive East,30
Ballantine Road,30
Green Valley Way,30
Nuthatcher Court,30
Andover Avenue,30
Paula Drive,30
West 66th Street,30
Twin Lane North,30
Gerhardt Road,30
Oxford Road,30
Coachman Court,30
Hartung Avenue,30
Camner Avenue,30
Mc Carthy Court,30
High Circle Lane,30
Woods Edge Court,30
United Nations Avenue South,-1
Westchester Court,30
Neslo Drive,30
Gerry Lane,30
Varsity Court,30
Vichiconti Way,30
Gray Oaks Avenue,30
Clawson Street,30
Wind Foot Ct,30
Ionic Court,30
Hibiscus Street,30
Bretton Street,30
Guelisten Place,30
Dane Court,30
Deirving Street,30
