Via Giuseppe La Villa,[['residential', -1]]
Largo Testa Arrigo,[['unclassified', -1]]
Via Giuseppe Cimbali,[['residential', -1], ['residential', -1]]
Via Cardinale Guglielmo Massaia,[['residential', -1], ['residential', -1]]
Vicolo Giuseppe Vitale,[['service', -1]]
Vicolo Vannucci,[['service', -1]]
Via Giovanni Di Stefano,[['tertiary', -1]]
Via Cau Lussorio,[['unclassified', -1]]
Via Salvatore Lo Bianco,[['residential', '40']]
Via Torremuzza,[['residential', -1]]
Via del Fondaco,[['service', -1], ['service', -1]]
Via Generale Cascino Antonino,[['residential', '50'], ['residential', '50']]
Via Nunzio Morello,[['residential', -1], ['residential', -1], ['residential', -1], ['residential', -1], ['residential', -1]]
Via Emilio D'Angelo,[['residential', -1]]
Via Gustavo Roccella,[['residential', '50'], ['unclassified', -1], ['unclassified', -1], ['residential', -1], ['residential', '50'], ['residential', '50'], ['residential', '50'], ['residential', '50']]
Via Emanuele Morselli,[['residential', -1]]
Via Castellana Bandiera,[['residential', -1]]
Via Scopari,[['residential', -1]]
via Luigi Vanvitelli,[['residential', -1]]
Salita Giuseppe Artale,[['residential', -1]]
Via Ernesto Teodoro Moneta,[['secondary', -1], ['secondary', -1], ['secondary', -1]]
Via Salvatore Tomasino,[['residential', -1]]
Via Vittorio Ducrot,[['unclassified', -1], ['unclassified', -1]]
Via Filippo Paruta,[['unclassified', -1], ['unclassified', -1]]
Piazza degli Aragonesi,[['residential', -1], ['residential', -1]]
Via Due Vanelle,[['unclassified', -1]]
Metropark,[['service', -1]]
Via Rua Formaggi,[['residential', -1]]
Via XXVII Maggio,[['residential', -1], ['residential', -1], ['residential', -1], ['residential', -1]]
Via Marabitti,[['residential', -1], ['residential', -1]]
Via sulle Mura di Porta Montalto,[['primary', -1], ['primary', -1]]
Salita Santi Romano,[['residential', -1]]
Via Mura della Lupa,[['residential', -1]]
Via Eustachio Catalano,[['residential', -1]]
Largo Edrisi,[['residential', -1]]
Via Vito La Mantia,[['residential', -1]]
Via dei Nebrodi,[['residential', -1], ['residential', -1]]
Via Pietro Paolo Rubens,[['residential', -1]]
Via Francesco Guardione,[['residential', -1], ['residential', -1]]
Via G. Besio,[['unclassified', -1]]
Via Sampolo,[['secondary', -1], ['secondary', -1]]
Via Generale Eugenio di Maria,[['residential', -1], ['residential', -1], ['residential', -1]]
Piazzale John Lennon,[['residential', -1], ['residential', -1], ['residential', -1]]
Via Gaetano Sgarlata,[['residential', -1]]
Via Ruggero Marturano,[['residential', -1], ['residential', -1]]
Via ai Fossi,[['residential', -1]]
Via Camillo Conte Benso di Cavour,[['secondary', -1], ['secondary', -1]]
Via Giuseppe Spatafora,[['residential', '40']]
Via Corrado Avolio,[['residential', -1], ['residential', -1]]
Via Olanda,[['residential', -1], ['residential', -1]]
Via Giovanni Campisi,[['residential', -1], ['residential', -1], ['residential', -1]]
Vicolo dell'Ospedale,[['residential', -1], ['residential', -1], ['residential', -1]]
Via Trinacria,[['residential', -1], ['residential', -1], ['residential', -1]]
Via Boccadifalco,[['tertiary', -1], ['tertiary', -1]]
Via Arcangelo Leanti,[['unclassified', -1]]
Via Collegio di Maria Al Borgo,[['residential', -1], ['residential', -1]]
Cortile del Capraio,[['service', -1]]
Via Eugenio Montale,[['unclassified', -1]]
Via Sebastiano La Franca,[['residential', '50'], ['tertiary', '50'], ['residential', '50']]
Via Giacomo Longo,[['residential', -1]]
Via Circonvallazione,[['secondary', -1]]
Vicolo Madonna del Cassaro,[['service', -1]]
Piazzetta Antonio Pasqualino,[['service', -1]]
Via San Sebastiano,[['residential', -1]]
Vicolo Lettighieri,[['pedestrian', -1]]
Via Alessandro Paternostro,[['residential', -1], ['pedestrian', -1], ['residential', -1]]
Salita Mura delle Cattive,[['residential', -1]]
Vicolo Cadomai,[['service', -1]]
Via Goethe,[['secondary', -1]]
Via Sirio,[['unclassified', -1]]
Via dell'Allodola,[['unclassified', -1]]
Via Magione,[['residential', -1], ['residential', -1]]
Via Nicolò Machiavelli,[['residential', -1], ['residential', -1]]
Via Colleggio Giusino,[['service', -1]]
Largo Antonio Sellerio,[['primary', -1]]
Via Isnello,[['residential', -1]]
Via Cipressi,[['residential', -1], ['residential', -1], ['residential', -1]]
Via Vittorio Zaban,[['unclassified', -1]]
Via dei Nassiuoli,[['residential', -1]]
Via della Giarra,[['residential', -1]]
Via Spaccaforno,[['residential', -1]]
Via Pio La Torre,[['unclassified', -1], ['unclassified', -1], ['unclassified', -1], ['unclassified', -1], ['unclassified', -1]]
Via Nunzio Nasi,[['residential', -1]]
Via Mulini,[['residential', -1], ['residential', -1]]
Via Augusto Elia,[['residential', -1]]
Via Maggiore Giuseppe Amari,[['unclassified', -1]]
Piazzetta San Cosmo,[['residential', -1]]
Via Rocco Pirri,[['residential', -1]]
Autostrada Palermo-Catania,[['motorway', -1], ['motorway', -1], ['motorway', '130'], ['motorway', '130'], ['motorway', -1], ['motorway', '60'], ['motorway', '130'], ['motorway', '80'], ['motorway', '100']]
Via Pietro Geremia,[['residential', '50']]
Vicolo Meschita,[['service', -1]]
Largo Campofiorito,[['residential', -1]]
Piazza Pietro Novelli,[['pedestrian', -1]]
Via Grado,[['residential', -1]]
Via Pietro Mignosi,[['residential', -1]]
Via del Salice,[['unclassified', -1]]
Via Zara,[['residential', -1]]
Via Pier Luigi Deodato,[['unclassified', -1]]
Via Corrado Lancia,[['residential', -1]]
Via Ernesto Lugaro,[['residential', '40']]
Via Guido delle Colonne,[['residential', -1], ['residential', -1]]
Via delle Pergole,[['residential', -1]]
Cortile Maqueda,[['pedestrian', -1]]
Via Albergheria,[['residential', -1], ['residential', -1], ['residential', -1]]
Vicolo Teatro Bellini,[['pedestrian', -1], ['pedestrian', -1], ['pedestrian', -1]]
Via Gaspare Serenario,[['residential', -1]]
Via Resuttana,[['residential', -1]]
Piazza San Francesco d'Assisi,[['pedestrian', -1]]
Piazza Sant'Onofrio,[['residential', -1], ['residential', -1]]
Via Toscana,[['residential', -1], ['residential', -1]]
Vicolo dei Benedettini,[['residential', -1]]
Via Al Convento di Baida,[['residential', -1]]
Via Catalano,[['service', -1]]
Via Giovan Battista Vaccarini,[['residential', -1], ['residential', -1]]
Via Aloi,[['unclassified', -1]]
Via Madre Carmela Prestigiacomo,[['residential', '50']]
Piazza del Ponticello,[['residential', -1]]
Viale Teocrito,[['residential', -1], ['residential', -1]]
Via Palchetto,[['unclassified', -1], ['unclassified', -1], ['unclassified', -1]]
