Via Giuseppe La Villa,30
Largo Testa Arrigo,-1
Via Giuseppe Cimbali,30
Via Cardinale Guglielmo Massaia,30
Vicolo Giuseppe Vitale,-1
Vicolo Vannucci,-1
Via Giovanni Di Stefano,50
Via Cau Lussorio,-1
Via Salvatore Lo Bianco,30
Via Torremuzza,30
Via del Fondaco,-1
Via Generale Cascino Antonino,30
Via Nunzio Morello,30
Via Emilio D'Angelo,30
Via Gustavo Roccella,30
Via Emanuele Morselli,30
Via Castellana Bandiera,30
Via Scopari,30
via Luigi Vanvitelli,30
Salita Giuseppe Artale,30
Via Ernesto Teodoro Moneta,-1
Via Salvatore Tomasino,30
Via Vittorio Ducrot,-1
Via Filippo Paruta,-1
Piazza degli Aragonesi,30
Via Due Vanelle,-1
Metropark,-1
Via Rua Formaggi,30
Via XXVII Maggio,30
Via Marabitti,30
Via sulle Mura di Porta Montalto,70
Salita Santi Romano,30
Via Mura della Lupa,30
Via Eustachio Catalano,30
Largo Edrisi,30
Via Vito La Mantia,30
Via dei Nebrodi,30
Via Pietro Paolo Rubens,30
Via Francesco Guardione,30
Via G. Besio,-1
Via Sampolo,-1
Via Generale Eugenio di Maria,30
Piazzale John Lennon,30
Via Gaetano Sgarlata,30
Via Ruggero Marturano,30
Via ai Fossi,30
Via Camillo Conte Benso di Cavour,-1
Via Giuseppe Spatafora,30
Via Corrado Avolio,30
Via Olanda,30
Via Giovanni Campisi,30
Vicolo dell'Ospedale,30
Via Trinacria,30
Via Boccadifalco,50
Via Arcangelo Leanti,-1
Via Collegio di Maria Al Borgo,30
Cortile del Capraio,-1
Via Eugenio Montale,-1
Via Sebastiano La Franca,30
Via Giacomo Longo,30
Via Circonvallazione,-1
Vicolo Madonna del Cassaro,-1
Piazzetta Antonio Pasqualino,-1
Via San Sebastiano,30
Vicolo Lettighieri,-1
Via Alessandro Paternostro,30
Salita Mura delle Cattive,30
Vicolo Cadomai,-1
Via Goethe,-1
Via Sirio,-1
Via dell'Allodola,-1
Via Magione,30
Via Nicolò Machiavelli,30
Via Colleggio Giusino,-1
Largo Antonio Sellerio,70
Via Isnello,30
Via Cipressi,30
Via Vittorio Zaban,-1
Via dei Nassiuoli,30
Via della Giarra,30
Via Spaccaforno,30
Via Pio La Torre,-1
Via Nunzio Nasi,30
Via Mulini,30
Via Augusto Elia,30
Via Maggiore Giuseppe Amari,-1
Piazzetta San Cosmo,30
Via Rocco Pirri,30
Autostrada Palermo-Catania,130
Via Pietro Geremia,30
Vicolo Meschita,-1
Largo Campofiorito,30
Piazza Pietro Novelli,-1
Via Grado,30
Via Pietro Mignosi,30
Via del Salice,-1
Via Zara,30
Via Pier Luigi Deodato,-1
Via Corrado Lancia,30
Via Ernesto Lugaro,30
Via Guido delle Colonne,30
Via delle Pergole,30
Cortile Maqueda,-1
Via Albergheria,30
Vicolo Teatro Bellini,-1
Via Gaspare Serenario,30
Via Resuttana,30
Piazza San Francesco d'Assisi,-1
Piazza Sant'Onofrio,30
Via Toscana,30
Vicolo dei Benedettini,30
Via Al Convento di Baida,30
Via Catalano,-1
Via Giovan Battista Vaccarini,30
Via Aloi,-1
Via Madre Carmela Prestigiacomo,30
Piazza del Ponticello,30
Viale Teocrito,30
Via Palchetto,-1
Via Raffaele La Valle,30
Vicolo Vernagallo,-1
Via Alberto Rallo,30
Via G.Mustica,-1
Piazza Zisa,30
Via Termini,30
Via Agostino Gallo,30
Via Teatro Garibaldi,30
Via Carmelo Onorato,-1
Via della Regia Zecca,30
Via Crociferi,30
Salita della Intendenza,30
Via Francesco Matera,30
Via Giacomo Puccini,30
Via Pasquale Prestisimone,30
Via Cesare Battisti,30
Via Valverde,30
Vicolo Averna,-1
Via Brigata Verona,-1
Via Portogallo,30
Piazza Meschita,30
Via Mammana,-1
Vicolo della Grotta,-1
Vicolo delle Vergini,-1
Via Santa Rita,30
Via Santissimo Salvatore,30
Via Maio Biondo,-1
Piazzetta Lucrezia Brunaccini,30
Via Aldo Pinelli,30
Largo La Loggia,30
Via Cluverio,30
Largo Cavalieri di Malta,30
Vicolo delle Travi,-1
Via Enrico Toti,30
Largo Camastra,30
Via Girolamo Grimaldi,-1
Via delle Industrie Navali,-1
Corso Re Ruggero,70
Largo Leone XIII,30
Via Centuripe,-1
Corso Alberto Amedeo,50
Via Stefano di Chiara,30
Piazzetta Luigi La Porta,30
Fondo Galletti,-1
Via Val Demone,30
Via Francesco Pasqualino,30
Via Salvatore Bertini,30
Via Roccazzo,50
Vicolo del Sant'Uffizio,-1
Via Buzzanca,-1
Via Ugo Foscolo,30
Via Simone Schiaffino,30
Via Ammiraglio Thaon de Ravel,30
Cortile Balate,-1
Via Puglia,30
Via Li Puma,-1
Via Agordat,30
Via Tiziano,30
Via Messina Marine,70
Via Cosmo Guastella,30
Via Oreto,70
Via Clemente Cornella,-1
Via Carlo Botta,30
Largo Ettore Romagnoli,30
Via Argisto Giuffredi,30
Via Giuseppe Zarbo,30
Vicolo del Monte,-1
Piazza Strauss,30
Largo Medaglie D'Oro,-1
Via S.97,-1
Via Piedilegno,30
Via Francesco Testa,30
Vicolo Placido Viola,-1
Via Flavio Gioia,-1
Piazza Marina,30
Via Generale Magliocco,-1
Via Manfredi Barogno,30
Via Salvatore Spinuzza,30
Via G. Ragusa,-1
Piazza Alberico Gentili,30
Via F. Liardo,-1
Via Francesco Maurolico,30
Via Re Martino,30
Via Grande Lattarini,30
Via Niccolò di Carlo,30
Via Napoli,30
Via Umberto Giordano,30
Via Marchese di Villabianca,30
Vicolo Grifotta,-1
Piazza San Giorgio dei Genovesi,30
Via Francesco De Sanctisw,-1
Via Villa Barbera,30
Via Ludovico Antonio Muratori,30
Via Chiavettieri,-1
Piazzetta San Giorgio,-1
Via Principe di San Giuseppe,30
Via Ausonia,-1
Via Antonio De Saliba,30
Via Chiappara al Carmine,30
Via Michele Piazza,30
Via Castrofilippo,30
Via Santa Maria del Piliero,30
Via Sabotino,30
Via Ruffo di Calabria,-1
Via Enrico Ferruzza,-1
Via Vincenzo Barbera,30
Via San Giosafat,30
Viale Praga,30
Largo Siviglia,30
Via Calascibetta,30
Vicolo Agalbato,30
Via Filippo Orioles,30
Vicolo del Bosco,-1
Via Pandolfini,-1
Via Giovanni Bonanno,30
Via Vito Sorba,30
Piazzale Ungheria,30
Vicolo Stalluzza,-1
Via Marchese di Roccaforte,-1
Piazza Bellini,-1
Porta dei Greci,30
Via Pastore Giulio,30
Via Briuccia,30
Piazza Matteotti,-1
Via Benedetto Civiletti,30
Via Lampionelli,30
Piazza Thomas Edison,30
Via Ferrari orsi,-1
Via Giuseppe Basile,30
Via Saverio Landolina,30
Via Carmelo Lazzaro,30
Via Rosselli,30
Via Pindemonte,-1
Via Stazzone,30
Vicolo Pilicelli,-1
Vicolo Lo Castro,30
Piazza Vittorio Veneto,-1
Vicolo Greco,-1
Piazza Virgilio,50
Via Giovanni Aurispa,30
Via Gioacchino di Marzo,30
Via Isidoro La Lumia,30
Via Saverio Cavallari,30
Via Guglielmo Albimonte,30
