Via Basaluzzo,30
Via dell'Albuccione,30
Galleria Termini,-1
Via Rozzano,30
Viale dei Bambini,-1
Via di Rocca Cencia,30
Via Italo Gismondi,30
Via Don Umberto Terenzi,30
Via Amatore Sciesa,30
Clivio di Villa Doria,-1
Via Pacentro,30
Via Campomorone,30
Via Castruccio Castracane,30
Vicolo della Rocca,30
Via delle Gondole,30
Via delle Grotte,30
Viale Opita Oppio,30
Viale Fernando Santi,30
Via Settefrati,30
Via Duccio di Buoninsegna,30
Via Isabella d'Este,30
Piazza del Pigneto,30
Via del Grottino,30
Via della Villa di Livia,50
Via Augusto Marini,30
Largo di Villa Bianca,30
Via Vilfredo Pareto,50
Via Marcello Piacentini,30
Via Gertrude Stein,30
Via Fontana Candida,-1
Largo del Cimitero di Prima Porta,-1
Via Achille Barilatti,30
Via Odescalchi,30
Via Malvito,30
Vicolo del Leopardo,30
Via dei Bruzi,30
Via Alessandro Cruto,30
Via Vasco Pratolini,30
Vicolo di San Barnaba,-1
Via Francesco Carletti,30
Via Varazze,30
Ponte di Tor di Quinto,90
buche,-1
Via Zara,30
Largo di Porta Cavalleggeri,70
Largo Giulio Capitolino,30
Via Giambattista Soria,30
Via Pieve Santo Stefano,30
Piazza Pompei,30
Via Domenico Beneventano,30
Via Enrico Guazzoni,30
Via Icaro,30
Via del Convento,30
Via Giorgio Franceschi,30
Via Giacomo Durando,30
Via della Cordonata,30
Via Giovanni Giolitti,30
Piazza degli Zingari,30
Largo della Vittoria,-1
Via di Monte Mellone,-1
Via Montottone,30
Via dei Ciliegi,30
Faete Basse,-1
Via Valle della Quistione,30
Via Foggia,30
Via Nicolò Albergati,30
Via delle Orchidee,30
Via Passirano,30
Largo Giuseppe la Masa,30
Via Papa Pio IX,30
Via del Bambinello,30
Via Lariana,30
Viale degli Ammiragli,30
Via Roma Libera,30
Via Carmelo Maravigna,30
Via Val Santerno,30
Via Pierfranco Bonetti,30
Via Francesco Cancellieri,30
Via del Gambero,30
Via Antonio Calderara,30
Via Sant'Ambrogio,-1
Via Francesco Mengotti,30
Viale Tito Labieno,50
Piazza Metabo,30
Via M. Iaconelli,-1
Viale Bruno Rizzieri,30
Via Francesco d'Alessio,30
Via Trino,30
Strada di Barbarossa,-1
Via Mombercelli,30
Viale Mario Pastore,-1
Viale Luigi Moretti,30
Via Augusto Gaudenzi,30
Via Serchio,30
Via Francesco Maria Veracini,30
Via Genova,30
Scalette Via Budrio,-1
Via dei Gerani,30
Via Paride Stefanini,50
Piazza delle Rose,30
Via Efisio Cugia,30
Via Cosimo Morelli,30
Passaggio a Scirocco,-1
Vicolo del Conte,30
Via di Castel Malnome,50
Via Tiberio Cavallo,30
Via Adolfo Cinquini,-1
Via Jacopo Torriti,30
Via Carmine Calò,30
Via Luca Tarigo,30
Via Fabio e Raffaello Giovagnoli,30
Largo Collodi,30
Piazza di San Cosimato,30
Via Pietro Venturi,30
Via Bartoli,-1
Via Guiorgio Bombonati,30
Via Golfo Aranci,30
Via Farneto,-1
Via Sant'Ireneo,30
Via Aurelio Bianchi Giovini,30
Piazza Jan Palach,30
Via Cori,30
Via delle Pigne,30
Via Enzo Benedetto,30
Via Giulio Vincenzo Bona,30
Via degli Aceri,30
Via Trani,30
Via degli Zigoli,30
Via Anagni,50
Via Sumirago,30
Via Clarice Marescotti,30
Via Colle del Miglio,-1
Viale dei Ninfei,-1
Via Bruna Pierlorenzi Ceotto,30
Via Landolfo Da Carcano,30
Via Monte Cervino,30
Piazza Andrea Ampere,30
Via Alfredo Fusco,30
Via Usseglio,30
Via dei Pozzi della Doganella,30
Via Serravalle Scrivia,30
Via Giovanni Zenatello,30
Via Dottore Cavaceppi,30
Via Eugenio Torelli Viollier,30
Via Druento,30
Via Fedone,30
Via Giovanni Battista Radice,30
Via Carlo Coccorese,30
Via Nicostene,30
Via Agostino Roscelli,30
Via dei Mercantili,30
Via del Bottino,30
Via Civitella Roveto,30
Via Cannaroli,30
Via Giambattista Bietti,30
Piazza Amerigo Capponi,30
Via Bartolomeo Ammannati,30
Via Lydia Monti,30
Largo Lamberto Loria,30
Via Valerio Flacco,30
Via dei Candiano,30
Via Alessandro dal Bosco,30
Rampa Via Ostiense,-1
Via dei Caduti,30
Piazzale Benito Juarez,30
Via Errico Giachino,30
Via Albenga,50
Via delle Monachelle,50
Via Giambattista Pagano,30
Via Rocco Girasole,30
Via dell'Arco di Travertino,-1
Via Agostino Bertani,30
Via David Maria Turoldo,30
Via Popilio Lenate,30
Via Boccadifalco,30
Via Francesco Rismondi,50
Via Pietro Ripari,30
Via Villata,30
Via Francesco Rismondo,30
Via Pian Due Torri,30
Piazza di Castel Fusano,50
Via Pecoreccia di Torre Angela,30
Via Colle Ottone Alto,-1
Sentiero Coll Alberata,-1
Via Francesco Paolo Michetti,30
Viale Arciconfraternita del Sacro Cuore del Suffragio,-1
Via Alberto Calza Bini,30
Via Montefiore,30
Via Ponsacco,30
Via Benedetto Bacchini,-1
Via Villa Literno,30
Via Collina,30
Via Ludovico Barassi,30
Via Borgo Annunziata,30
Via di San Crisogono,30
Via Giuseppe Marcotti,30
Via Moncalieri,30
Via Fossanova,30
Via Emilio Salgari,30
Via Edmondo Bucarelli,30
Via Misano Adriatico,30
Via Nicola Antonio Pedicino,30
Via Pasquale Tosi,30
Via fra Clemente di Gesù,30
Rampa Heinrich Dressel,-1
Via Baucina,30
Largo Girolamo Minervini,-1
Via Pier Lorenzo De Vita,30
Via San Lorenzo,30
Viale delle Ginestre,30
Via Difilo,30
Via del Casale di San Pio V,-1
Via Lesbio Maglio Egerio,30
Via Giovanni Michelotti,30
Via del Buon Ricovero,30
304C C. Cerro - Prato dei Porcini (Anita),-1
Via Padre Vitale,30
Via Tirso,30
Piazza Tommaso De Cristoforis,30
Via Mariano Rampolla,30
Via Goriano Sicoli,30
Via Tertulliano,-1
Viale Pinturicchio,30
Via Francesco Pastura,30
Via Sforza,30
Via Luson,30
Piazza della Rocca,-1
Via Antonio Fontanesi,-1
Via dei Tre Orologi,30
Via av. sc. V. Varroni,-1
20° strada,30
Via Colle Sant'Antonio,30
Via Valle delle Dame Sud,-1
Via Grognardo,30
Piazza Antonio Basso,-1
Via Francesco Secondo Beggiato,30
Via Lorenzo Campeggi,30
Via Monte del Finocchio,-1
Lungotevere Guglielmo Oberdan,70
Largo Stefano Gaj Tachè,-1
Viale Marco Fulvio Nobiliore,30
Via Moricone,30
Viale Athos Guidi,-1
Via degli XI Martiri,30
Via Ferruccio Amendola,30
Via Unione Sovietica,30
Via degli Inferi,-1
Via Carpinello,30
Via Frisa,30
Via Santa Marina Salina,30
Piazza Ittireddu,30
Via Fanano,-1
Piazza Comitato di Liberazione Nazionale,30
Via dell'Astrolabio,30
Via Aldo Turinetto,30
Via Carlo Follini,30
Via dei Casali di Acquafredda,30
Piazza del Porto di Ripetta,30
Via Luigi Laterza,30
Piazzale Vittorio Poggi,30
Via Pietro Raimondi,30
Via Giuseppe Mirri,30
Piazzetta del Cortilone,-1
Ministero Marina,-1
Piazza Ruggero di Sicilia,30
Via Turchia,30
Via Pisterzo,30
Via dell'Agrifoglio,30
Via Benvenuto Volpato,30
Via Novara,30
Via Gesualdo Machetti,30
Via T. Sperandio,30
Largo Flavio Domiziano,-1
Via Don Orione,30
Viale Busnago,-1
Piazza del Lavatoio,-1
Via Clisio,30
Via degli Storioni,30
Piazza dell'Alberone,50
Via Tarantasca,30
Via Campo Gillaro,30
Via Bisentina,30
Via L'Aquila,50
Via Leccosa,30
via Sempione,-1
Via Lesegno,30
Piazza Varisella,30
Via Melicucco,-1
Via Calimera,30
Via Dodici Apostoli,-1
Via Colle Pizzuto,30
Via Fontavignone,30
Via del Gonfalone,30
Via Francesco Jovine,30
Piazza di Sant'Andrea della Valle,30
Via Giovanni Botero,30
Piazzale Caffarelli,-1
Via del Matone,-1
Via Poggio Bracciolini,30
Via dell'Impruneta,30
Via Stellanello,30
Via Giorgio Spaccarelli,30
Via della Zampogna,30
Viale Letizia Bonaparte,30
Via dei Carpini,30
Via Fontana Bella,-1
Via Pietraferrazzana,30
