Robalo Court,[['residential', -1]]
Toni Ann Place,[['residential', -1], ['residential', -1]]
Bluebell Avenue,[['residential', -1]]
Devon Way,[['residential', -1], ['residential', -1]]
Murray Way,[['residential', -1]]
Nazarene Way,[['residential', -1]]
Charmat Court,[['residential', -1]]
Alice Drive,[['residential', -1]]
El Camino del Mar,[['secondary', -1], ['residential', -1], ['tertiary', -1], ['residential', -1], ['tertiary', -1], ['service', -1], ['footway', -1], ['footway', -1], ['steps', -1], ['footway', -1], ['service', -1], ['footway', -1], ['tertiary', '25 mph'], ['residential', -1], ['secondary', -1], ['tertiary', -1]]
Urzi Court,[['residential', -1]]
Whitman Way,[['residential', -1], ['residential', -1]]
Serramonte Boulevard,[['tertiary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['tertiary', -1], ['tertiary', -1], ['tertiary', -1], ['secondary', -1], ['secondary', -1], ['tertiary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1]]
Lorelei Court,[['residential', -1]]
Orchard Road,[['residential', -1]]
Audubon Avenue,[['residential', -1], ['residential', -1]]
Ferdinand Avenue,[['residential', -1], ['residential', -1], ['residential', -1]]
West Maple Way,[['residential', -1], ['residential', -1]]
Cecil Avenue,[['residential', -1], ['residential', '25 mph'], ['residential', -1]]
Roxanne Drive,[['residential', -1]]
Samedra Street,[['residential', '25 mph'], ['residential', '25 mph']]
Hummel Court,[['residential', -1]]
Douglane Avenue,[['residential', '25 mph']]
Caribou Court,[['residential', '25 mph']]
North 14th Street,[['residential', -1], ['residential', -1]]
Madden POC,[['footway', -1], ['footway', -1], ['footway', -1]]
California 237,[['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1]]
Benjamin Avenue,[['residential', -1]]
Victor Place,[['residential', -1]]
Ellsworth Street,[['residential', -1], ['residential', -1], ['residential', -1], ['residential', -1]]
Wabash Street,[['residential', -1]]
Acton Court,[['residential', -1]]
Plover Street,[['residential', -1]]
Peralta Road,[['residential', -1]]
Farm Hill Way,[['residential', -1]]
Edith Avenue,[['residential', -1]]
Topping Way,[['residential', -1]]
Upper Hills Court,[['residential', -1]]
Warner Avenue,[['residential', '25 mph']]
Edenbank Court,[['residential', -1]]
La Bica Way,[['residential', -1]]
Pinnacle Street,[['residential', -1]]
Jones Alley,[['service', -1]]
Sloat Court,[['residential', -1]]
Calico Court,[['residential', -1]]
Andrea Drive,[['residential', -1]]
Cooksey Lane,[['footway', -1], ['residential', -1]]
Whispering Hills Lane,[['residential', -1]]
Alameda de Las Pulgas,[['secondary', '30 mph'], ['secondary', -1], ['secondary', '25 mph'], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '35 mph'], ['secondary', -1], ['secondary', -1], ['secondary', '35 mph'], ['secondary', '35 mph'], ['secondary', '35 mph'], ['secondary', '35 mph'], ['secondary', '30 mph'], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '35 mph'], ['secondary', '35 mph'], ['secondary', '35 mph'], ['secondary', '35 mph'], ['secondary', '35 mph'], ['secondary', '35 mph'], ['secondary', '35 mph'], ['secondary', '35 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', -1], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', -1], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '25 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '35 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph'], ['secondary', '30 mph']]
Meacham Place,[['service', -1]]
Angmar Court,[['residential', -1]]
Juarez Court,[['residential', -1]]
Banning Avenue,[['residential', '25 mph']]
Milton Court,[['residential', -1]]
Liverpool Avenue,[['residential', -1]]
Limewood Drive,[['residential', -1]]
Welker Court,[['residential', -1]]
Normandie Terrace,[['residential', -1]]
La Rochelle Terrace,[['residential', -1]]
Vista Point,[['unclassified', -1], ['unclassified', -1]]
Embarcadero North Street,[['unclassified', -1], ['unclassified', -1]]
Mason Lane,[['residential', -1]]
Avenida La Junta,[['service', -1]]
Kitimat Place,[['residential', '25 mph'], ['residential', '25 mph'], ['residential', '25 mph']]
Barton Street,[['residential', -1]]
El Center,[['service', -1]]
Goodfellow Place,[['service', -1]]
Lori Avenue,[['residential', -1]]
Laurie Jo Lane,[['service', -1]]
Emmett Avenue,[['residential', -1], ['residential', -1]]
Scott Avenue,[['residential', -1]]
Tagus Court,[['residential', -1]]
Edward Street,[['residential', -1]]
Network Circle,[['service', -1], ['service', -1]]
Obrad Drive,[['residential', -1]]
Stella Court,[['residential', '25 mph']]
Garcal Drive,[['residential', -1]]
Marine Drive,[['service', -1], ['service', '15 mph'], ['service', '15 mph'], ['service', '15 mph'], ['service', '15 mph'], ['service', -1], ['service', -1]]
Carroll Avenue,[['residential', -1], ['residential', -1], ['residential', -1]]
Rolly Road,[['residential', -1]]
Lennox Way,[['residential', -1], ['residential', '25 mph']]
George Hood Lane,[['residential', -1]]
North McCarthy Boulevard,[['secondary', '45 mph'], ['secondary', '45 mph'], ['secondary', '45 mph'], ['secondary', '45 mph'], ['secondary', '45 mph'], ['secondary', '45 mph'], ['secondary', '45 mph'], ['secondary', '45 mph'], ['secondary', '45 mph'], ['secondary', '45 mph'], ['secondary', -1], ['secondary', '45 mph'], ['secondary', '45 mph'], ['secondary', '45 mph'], ['secondary', '45 mph'], ['secondary', '45 mph'], ['secondary', '45 mph'], ['secondary', '45 mph'], ['secondary', '45 mph'], ['secondary', '45 mph'], ['secondary', '45 mph'], ['secondary', '45 mph'], ['secondary', '45 mph'], ['secondary', '45 mph'], ['secondary', '45 mph'], ['secondary', '45 mph'], ['secondary', '45 mph'], ['secondary', '45 mph'], ['secondary', '45 mph']]
Seacliff Drive,[['residential', -1]]
Guadalupe River Trail,[['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1], ['cycleway', -1]]
Noriega Way,[['residential', -1]]
Long Bridge Vara,[['residential', -1]]
Karie Ann Way,[['residential', -1]]
Moresby Lane,[['residential', -1]]
Armistead Road,[['residential', -1], ['residential', -1], ['residential', -1]]
Altree Court,[['residential', -1]]
Kevin Way,[['residential', -1]]
Casita Court,[['residential', -1], ['residential', -1]]
Johnston Avenue,[['residential', -1]]
Nathhorst Avenue,[['residential', -1]]
Ribbon Street,[['residential', -1]]
Amstel Court,[['service', -1]]
Deep Creek Court,[['residential', -1]]
Beaver Lane,[['residential', -1]]
Vista Verde Court,[['residential', -1], ['residential', -1]]
Rouen Court,[['residential', -1]]
Council Circle Trail,[['track', -1], ['path', -1]]
Vasona Street,[['residential', -1], ['residential', -1]]
Beatrice Road,[['residential', -1]]
Coral Lane,[['residential', -1]]
Kristin Court,[['residential', -1]]
Ursula Lane,[['residential', -1]]
Remington Way,[['residential', -1]]
San Felipe Avenue,[['residential', -1], ['residential', -1], ['residential', -1], ['tertiary', -1]]
Lincoln Circle,[['residential', -1]]
Flintlock Road,[['residential', -1]]
Guy Place,[['residential', -1], ['residential', -1]]
Summerhill Court,[['residential', -1], ['residential', -1]]
Clifton Drive,[['residential', -1]]
Abinante Lane,[['residential', -1]]
Fisher Alley,[['service', -1]]
Biscayne Avenue,[['residential', -1]]
El Cortez Avenue,[['residential', -1]]
Lewis Foster Drive,[['residential', -1], ['residential', -1]]
Elisa Avenue,[['residential', -1]]
Acacia Drive,[['residential', -1], ['residential', -1]]
Lower Lupin Way,[['residential', -1]]
Creekline Drive,[['residential', -1]]
Saratoga Vista Court,[['residential', -1]]
Carnavon Way,[['service', -1]]
Iris Way,[['residential', -1]]
Dunster Drive,[['residential', -1]]
Moore Drive,[['residential', -1]]
Winding Creek Court,[['residential', -1]]
N. Stadium Drive,[['unclassified', '5 mph']]
Montecito Drive,[['residential', -1]]
