Strada Piossasco,30
Via Francesco Azzi,-1
Via dei Cuccioli,30
Via Gioberti,30
Via Cardinale Guglielmo Massaia,-1
Via Muzio Clementi,30
Via Alberto Nota,30
Piazza San Rocco,-1
Via della Consolata,30
Via San Mauro,30
Via Giovanni Battista Rossano,30
Via Annibale Lovera Di Maria,-1
Via Airasca,30
Via Pietro Baiardi,-1
Via Dego,30
Piazza Caduti,30
Piazza Lorenzo Bernini,30
Via De Francisco,30
Via Cristalliera,-1
Via Adriano Olivetti,-1
Via Stefano Clemente,30
Via Santorre di Santarosa,30
Via S Giovanni Bosco,-1
Corso Susa,70
Piazza Che Guevara,30
Via Giovanni Paolo II,30
Piazza J.F. Kennedy,30
Brunassa,-1
Tangenziale Rivalta-Rivoli,50
Strada Comunale di Cavoretto,30
Via Cardinale Cagliero,-1
Via Col del Lys,30
Via Gianni Rodari,50
Piazza Fabio Filzi,30
Via Conti,-1
Ponte Vittorio Emanuele,50
Corso Chieri,30
Via Pietro Crosetto,-1
Largo Giusti,50
Argine nord del Canale Cimena (deviazione),-1
Binario 1 Pessione,-1
Via Alla Chiesa,-1
Vicolo Castagnevizza,30
Via Grugliasco,30
Via Battista Bena,-1
Via Zara,30
Via Federico Ozanam,-1
Piazzetta Primo Levi,-1
Strada del Morozzo,30
Via Borgofranco,50
Via Prospero Richelmy,-1
Viale Carlo Ceppi,30
Via Giacomo Durando,-1
Via Giovanni Giolitti,30
Via Giovanni Felecchia,30
Strada Vicinale della Torretta,-1
Via Eritrea,30
Passaggio privato Cantalupo,30
Corso Cavour,30
Via Foggia,30
via Adamello,-1
Via Oristano,30
Via Ercole Tommaso Roero di Cortanze,30
Via Gioacchino Quarello,30
percorso metropolitano 2 stura di lanzo,-1
Strada Valle Baudana,-1
Via Fenestrelle,30
Via Bellardi,30
Strada Superga,30
Via abate Antonio Maria Vassalli Eandi,30
Via Sant'Ambrogio,30
Piazza Cavallero,-1
Via Ettore Fieramosca,30
Via Saccarelli,-1
Strada Tredicesima,-1
Via Trino,-1
Via Secondo Frola,-1
Via Nicoloò Paganini,30
Via Grange,30
Via Maresciallo Gaetano Giardino,-1
Via Arturo Farinelli,-1
Piazza Principe Eugenio,50
Via Angelo Tasca,30
Via Salerno,-1
Via La Loggia,50
Gran canyon 1,-1
Via Giovanni Agnelli,30
Strada Torino,30
Via Strambino,30
Strada Nuova Tetti,30
Strada Carpice,30
Strada Mappano,50
Via Taricco,-1
Via Cassagna,50
Via Musinè,30
Strada Comunale da San Vito a Revigliasco,50
Via D'Amico,30
Via Batuelle,30
Via Bogge,-1
Via G. Giordano,30
Via Pietro Santarosa,-1
Via Giorgio Vecco,-1
Via Giansiracusa,30
Via Sambuy,50
Via Pablo Picasso,30
Via Avigliana,30
Via degli Aceri,30
Via Pietro Piffetti,30
Rotta Gallino,-1
Via Gay di Quarti,30
Via Gaetano Amati,30
Via Martinetto,30
Via Col di Nava,30
Via della Chiesa,-1
Viale Burdin,-1
Via Mario Pannunzio,30
Via S Isidoro int,30
Via Boito,30
Via Tanaro,30
Via Giorgio Catti,30
Piazza Don Luigi Cocco,-1
Via Rosario Santa Fè,30
Via Druento,50
Via Serra,30
Via Felice Romani,-1
Via Trento Trieste,30
Via Brescia,30
Via Portalupi,30
Via Marcino D Alba,30
Corso Achille Mario Dogliotti,70
Piazza Grande Torino,-1
Raccordo della Falchera,130
Via Pio X,30
Viale Petrarca,50
Via Roosvelt,30
Via Carlo detto Collodi Lorenzini,30
Piazza Duomo,30
Via dei Caduti,30
Strada Braia,30
Via Errico Giachino,-1
Strada di Santa Croce,30
Via Albenga,30
Strada Valle Sauglio,50
Via Alberto da Rivoli,30
Via Agostino Bertani,-1
45,-1
Via Terranova,30
Piazza Michelangelo Buonarroti,30
Via Francesco Rismondo,30
Via Don Gnocchi,30
S 37,-1
S 30,-1
S 31,-1
S 32,-1
S 33,-1
Pista ciclabile di Piazza Derna,-1
Via Antonio Sciesa,-1
Via Luigi da Palestrina,30
Via Galileo Galilei,30
Via Valtorta,30
Via Eugenio Montale,30
Rocca Bianca,-1
Strada Comunale Rivalta Villarbasse,-1
Via Mario Caudana,-1
Lungo Dora Napoli,30
Strada delle Cacce,30
Via Moncalieri,30
